"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2013/01/02 11:00:00","WEST","1866","16"
"2013/01/02 12:00:00","CAPITL","1413","17"
"2013/01/02 12:00:00","CENTRL","1868","17"
"2013/01/02 12:00:00","DUNWOD","695","17"
"2013/01/02 12:00:00","GENESE","1152","17"
"2013/01/02 12:00:00","HUD VL","1163","17"
"2013/01/02 12:00:00","LONGIL","2506","17"
"2013/01/02 12:00:00","MHK VL","941","17"
"2013/01/02 12:00:00","MILLWD","363","17"
"2013/01/02 12:00:00","N.Y.C.","6418","17"
"2013/01/02 12:00:00","NORTH","839","17"
"2013/01/02 12:00:00","WEST","1853","17"
"2013/01/02 13:00:00","CAPITL","1402","18"
"2013/01/02 13:00:00","CENTRL","1871","18"
"2013/01/02 13:00:00","DUNWOD","697","18"
"2013/01/02 13:00:00","GENESE","1150","18"
"2013/01/02 13:00:00","HUD VL","1158","18"
"2013/01/02 13:00:00","LONGIL","2485","18"
"2013/01/02 13:00:00","MHK VL","933","18"
"2013/01/02 13:00:00","MILLWD","360","18"
"2013/01/02 13:00:00","N.Y.C.","6411","18"
"2013/01/02 13:00:00","NORTH","835","18"
"2013/01/02 13:00:00","WEST","1860","18"
"2013/01/02 14:00:00","CAPITL","1382","19"
"2013/01/02 14:00:00","CENTRL","1855","19"
"2013/01/02 14:00:00","DUNWOD","699","19"
"2013/01/02 14:00:00","GENESE","1148","19"
"2013/01/02 14:00:00","HUD VL","1153","19"
"2013/01/02 14:00:00","LONGIL","2482","19"
"2013/01/02 14:00:00","MHK VL","924","19"
"2013/01/02 14:00:00","MILLWD","360","19"
"2013/01/02 14:00:00","N.Y.C.","6409","19"
"2013/01/02 14:00:00","NORTH","837","19"
"2013/01/02 14:00:00","WEST","1856","19"
"2013/01/02 15:00:00","CAPITL","1389","20"
"2013/01/02 15:00:00","CENTRL","1848","20"
"2013/01/02 15:00:00","DUNWOD","702","20"
"2013/01/02 15:00:00","GENESE","1155","20"
"2013/01/02 15:00:00","HUD VL","1159","20"
"2013/01/02 15:00:00","LONGIL","2523","20"
"2013/01/02 15:00:00","MHK VL","926","20"
"2013/01/02 15:00:00","MILLWD","369","20"
"2013/01/02 15:00:00","N.Y.C.","6441","20"
"2013/01/02 15:00:00","NORTH","837","20"
"2013/01/02 15:00:00","WEST","1853","20"
"2013/01/02 16:00:00","CAPITL","1468","21"
"2013/01/02 16:00:00","CENTRL","1917","21"
"2013/01/02 16:00:00","DUNWOD","743","21"
"2013/01/02 16:00:00","GENESE","1194","21"
"2013/01/02 16:00:00","HUD VL","1218","21"
"2013/01/02 16:00:00","LONGIL","2690","21"
"2013/01/02 16:00:00","MHK VL","964","21"
"2013/01/02 16:00:00","MILLWD","389","21"
"2013/01/02 16:00:00","N.Y.C.","6571","21"
"2013/01/02 16:00:00","NORTH","855","21"
"2013/01/02 16:00:00","WEST","1892","21"
"2013/01/02 17:00:00","CAPITL","1619","22"
"2013/01/02 17:00:00","CENTRL","2105","22"
"2013/01/02 17:00:00","DUNWOD","805","22"
"2013/01/02 17:00:00","GENESE","1311","22"
"2013/01/02 17:00:00","HUD VL","1350","22"
"2013/01/02 17:00:00","LONGIL","3010","22"
"2013/01/02 17:00:00","MHK VL","1050","22"
"2013/01/02 17:00:00","MILLWD","434","22"
"2013/01/02 17:00:00","N.Y.C.","6786","22"
"2013/01/02 17:00:00","NORTH","882","22"
"2013/01/02 17:00:00","WEST","2041","22"
"2013/01/02 18:00:00","CAPITL","1640","23"
"2013/01/02 18:00:00","CENTRL","2132","23"
"2013/01/02 18:00:00","DUNWOD","813","23"
"2013/01/02 18:00:00","GENESE","1320","23"
"2013/01/02 18:00:00","HUD VL","1374","23"
"2013/01/02 18:00:00","LONGIL","3095","23"
"2013/01/02 18:00:00","MHK VL","1063","23"
"2013/01/02 18:00:00","MILLWD","451","23"
"2013/01/02 18:00:00","N.Y.C.","6718","23"
"2013/01/02 18:00:00","NORTH","884","23"
"2013/01/02 18:00:00","WEST","2060","23"
"2013/01/02 19:00:00","CAPITL","1610","0"
"2013/01/02 19:00:00","CENTRL","2114","0"
"2013/01/02 19:00:00","DUNWOD","801","0"
"2013/01/02 19:00:00","GENESE","1303","0"
"2013/01/02 19:00:00","HUD VL","1355","0"
"2013/01/02 19:00:00","LONGIL","3059","0"
"2013/01/02 19:00:00","MHK VL","1055","0"
"2013/01/02 19:00:00","MILLWD","449","0"
"2013/01/02 19:00:00","N.Y.C.","6578","0"
"2013/01/02 19:00:00","NORTH","887","0"
"2013/01/02 19:00:00","WEST","2043","0"
"2013/01/02 20:00:00","CAPITL","1560","1"
"2013/01/02 20:00:00","CENTRL","2059","1"
"2013/01/02 20:00:00","DUNWOD","772","1"
"2013/01/02 20:00:00","GENESE","1267","1"
"2013/01/02 20:00:00","HUD VL","1319","1"
"2013/01/02 20:00:00","LONGIL","2966","1"
"2013/01/02 20:00:00","MHK VL","1027","1"
"2013/01/02 20:00:00","MILLWD","434","1"
"2013/01/02 20:00:00","N.Y.C.","6376","1"
"2013/01/02 20:00:00","NORTH","878","1"
"2013/01/02 20:00:00","WEST","2005","1"
"2013/01/02 21:00:00","CAPITL","1470","2"
"2013/01/02 21:00:00","CENTRL","1965","2"
"2013/01/02 21:00:00","DUNWOD","731","2"
"2013/01/02 21:00:00","GENESE","1202","2"
"2013/01/02 21:00:00","HUD VL","1252","2"
"2013/01/02 21:00:00","LONGIL","2801","2"
"2013/01/02 21:00:00","MHK VL","972","2"
"2013/01/02 21:00:00","MILLWD","410","2"
"2013/01/02 21:00:00","N.Y.C.","6149","2"
"2013/01/02 21:00:00","NORTH","861","2"
"2013/01/02 21:00:00","WEST","1937","2"
"2013/01/02 22:00:00","CAPITL","1348","3"
"2013/01/02 22:00:00","CENTRL","1822","3"
"2013/01/02 22:00:00","DUNWOD","677","3"
"2013/01/02 22:00:00","GENESE","1108","3"
"2013/01/02 22:00:00","HUD VL","1155","3"
"2013/01/02 22:00:00","LONGIL","2564","3"
"2013/01/02 22:00:00","MHK VL","893","3"
"2013/01/02 22:00:00","MILLWD","369","3"
"2013/01/02 22:00:00","N.Y.C.","5828","3"
"2013/01/02 22:00:00","NORTH","840","3"
"2013/01/02 22:00:00","WEST","1833","3"
"2013/01/02 23:00:00","CAPITL","1249","4"
"2013/01/02 23:00:00","CENTRL","1705","4"
"2013/01/02 23:00:00","DUNWOD","617","4"
"2013/01/02 23:00:00","GENESE","1024","4"
"2013/01/02 23:00:00","HUD VL","1055","4"
"2013/01/02 23:00:00","LONGIL","2319","4"
"2013/01/02 23:00:00","MHK VL","839","4"
"2013/01/02 23:00:00","MILLWD","337","4"
"2013/01/02 23:00:00","N.Y.C.","5436","4"
"2013/01/02 23:00:00","NORTH","821","4"
"2013/01/02 23:00:00","WEST","1719","4"
"2013/01/03 00:00:00","CAPITL","1208","5"
"2013/01/03 00:00:00","CENTRL","1673","5"
"2013/01/03 00:00:00","DUNWOD","568","5"
"2013/01/03 00:00:00","GENESE","984","5"
"2013/01/03 00:00:00","HUD VL","976","5"
"2013/01/03 00:00:00","LONGIL","2129","5"
"2013/01/03 00:00:00","MHK VL","823","5"
"2013/01/03 00:00:00","MILLWD","311","5"
"2013/01/03 00:00:00","N.Y.C.","5022","5"
"2013/01/03 00:00:00","NORTH","820","5"
"2013/01/03 00:00:00","WEST","1638","5"
"2013/01/03 01:00:00","CAPITL","1179","6"
"2013/01/03 01:00:00","CENTRL","1635","6"
"2013/01/03 01:00:00","DUNWOD","548","6"
"2013/01/03 01:00:00","GENESE","959","6"
